Treated1_PE,Treated2_PE,Treated3_PE,Treated4_PE,Untreated1_PE,Untreated2_PE,Untreated3_PE,Untreated4_PE
33.522531099999995,29.274287,27.859641000000003,45.276724,7.000005000000001,7.251627000000001,4.90751,8.801369110697
27.00001581,42.852743,29.994868,52.99754,27.000045999999998,24.99997,30.998057,27.000003599999996
65.6063,85.99997,74.59270000000001,119.3792,51.6656,59.911359999999995,50.468450000000004,57.53362
0,0,0,0.947867,0,0.570717,0,0
2.000005,0,0,3,2.000005,1,1,1
34.2232,45.307500000000005,64.64760000000001,57.896,40.05166,76.82159999999999,53.1614,17.31707
65.44048000000001,65.83415,43.011129999999994,77.72742000000001,97.79994,168.26735,167.34474,133.51914
210.72428000000002,334.91944,244.75032,416.22491,65.2837,74.05677,69.672,60.65595999999999
0.745388,6,1.5209489999999999,1.640711,5,1.85891,0.943563,1.80904
171.35531,181.16548,141.84709,275.02423999999996,164.81450999999998,265.54967117783,214.55983,182.54087252890002
1.42567,0.425668,1.5,1.1021050000000001,1.5,1.616355,2.331248,1.42567
7.66929e-7,0,0,0,12,8.9817,3.44483,0
0,0,0,0,0,0,0,0
489.91928,541.1379999999999,486.42066400000004,812.0879399999999,425.09002,657.1574,503.16805999999997,429.76734000000005
273.415554,282.01925159542,215.60236,363.99033,191.88456699999998,229.46267999999998,195.14108,165.76433000000003
0,0,0,0,0,0,0,0
40.97076,35.70252,14.402560000000001,43.4613,22.375790000000002,40.90283,41.37848,39.319990000000004
202.3259,283.8002,157.70280000000002,355.6294,126.51597000000001,186.8476,124.2349,113.13348
50.28557,110.00000758000002,21.17863,54.24943509851681,36.5620100445299,99.20389999999999,32.1156245994,115.00003000000001
1,0.7669797756227,4.825121451,0.712379,1,1.9999999487879,0,2
211.3426,197.51965,210.93456,312.32629000000003,92.11813000000001,166.64959000000002,125.465925,138.27115
0.560046,0.567654,2.23008,1.49363,1.967054,6.01865,2.348506,0
9.38489,25.8579,9.65821,24.185789999999997,8.895488389899999,7.845,13.484829999999999,6.08221
18.38141,21.17013,21.45241,29.27922,15.130590000000002,19.879170000000002,16.74814,12.329910000000002
5.20457,5.64334,3.56611,24.274179999999998,1.32945,3.1256,5.28070540963,5.0695
0,11,1.85771,1.76878,4.7332,4.7332,0.839922,8
2.000001,2,3.000003,4.999996,11.000003000000001,21.999999999999996,14.000000289299999,15.000000025827102
6.2077,4.06249,3.54814,5.452,3.2978899999999998,13.06533,1.836873,5.721209999999999
14.612105,8.35587,17.562449055536597,12.3576,8.5145683,25.8734,7.158188,7.739693147534
0,0,0.166642,0,0,0,0.0552933,0.6078220000000001
18.99998,16.999979,5,19.99996,5,13.99996,9,10
0,0,0,0,0,0,0,0
75.64764518772002,118.441207699732,79.7117674,106.839136696977,40.379767085397596,50.162234046559604,36.321403021095904,34.773621239361994
14.945155,41.431149227,19.981726,13.29982,0.794120274883,11.330214,8.53321,7.981726
13.999970000000001,29.999969999999998,7.9999974,16.16187,32.9999600138979,55.000020000000006,40.000029999999995,50.00001999999999
9,14,5.9999899999999995,9.85463,16.78926,42.05108,20.90709,32.00001
0,6,5.04072e-5,3.44606,4.348535,13.01408,3.427903,4
23.363357,27.6655935,17.273850000000003,26.2380766768,20.994604000000002,36.81771,30.658979999999996,36.359939
0,0,0,0,0,0,0,0
10.35945,7.51956,7.72298,13.37183,4.94827,10.89873,8.81483,5.49433
75.00002,88.00003000000001,83.56904,130.0045,46.04724999999999,85.54224,60.99857000000001,75.14572600000001
77.87401899999999,31.842775102815,55.3162,106.45888,59.6256429,114.771402,25.230457023650402,90.13378
