Treated1_PE,Treated1_SE,Treated2_PE,Treated2_SE,Treated3_PE,Treated3_SE,Treated4_PE,Treated4_SE,Untreated1_PE,Untreated1_SE,Untreated2_PE,Untreated2_SE,Untreated3_PE,Untreated3_SE,Untreated4_PE,Untreated4_SE
4.22865,3.237,2.08128,2.0818,3.43275,3.13396,4.1616800000000005,4.75296,2,2,3.42624,4.02431,7.42149,5.45854,4,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.71375,16.99996,26.4467,20.6067,27.53108,29.11259,40.50337,30.29276,41.32758,40.35749,60.44575999999999,47.68943,39.95124,41.786699999999996,28.66734,25.46493
3.65157,3.1852,0,0,1.66655,1.21298,3.33934,1.36567,3.52752,2.48371,3.117513,2.497172,2.19303,1.35663,4.00615,2.69013
11.42756,13.08682,7.25943,9.21094,10.22848,9.80993,14.73552,15.754100000000001,21.65744,21.54466,23.28011,22.4923,21.919330000000002,23.9133,22.99441,17.236011270000002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.50481,4.5342,28.04842,1.88452,20.78518,1.94066,30.9878,1.99357,37.856829999999995,2.02953,54.328810000000004,1.9528,50.36367,3.89746,40.1202,0
65.15543,24.47035,50.989,22.22864,49.9057,13.8646,106.02,29.1919,47.1548,9.02637,64.3157,9.73274,43.44901,1.28599,44.60348,8.83105
13.0658,8.408570000000001,26.49555,16.36144,10.177886,5.55235,21.202396,12.711189999999998,17.675257000000002,10.8833,19.50267,12.081449999999998,13.91368,4.65705,7.907299000000001,3.55235
69.7391,58.8047,112.516,85.4684,75.4189,67.5265,126.299,103.08,63.791,54.7944,71.58,62.4776,74.2099,68.2221,60.6134,51.3084
5.01403,4.01403,11,9,6.00121,5.002314999999999,9,9,6.07738,3.05274,14.09591,9.15301,9,9,8.370930000000001,5.543710000000001
39.982795700000004,5.6486557,8.97608,7.76269621855,2.427169,2.964045,25.14272,25.29983,4.040371998,2.2159096,3.392993,0,26.835440000000002,4.81352,2.6440400938382,0.644045
31.608135,12.210531835000001,16.657524000000002,8.31258e-4,11.69638768,6.67318e-5,35.6883156,16.128722035,49.4251,17.0408874,62.52343,32.4539,64.0252,39.8931,65.6593028572,37.3229
18.702614,10.09249,50.00003,40.00003,15.378828,11.256699999999999,31.31777,28.56891,20.465567,17.4178,44.460776,29.347659999999998,19.673571,18.559440000000002,27.881439999999998,18.606679999999997
0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
20.540512999999997,15.442166,14.147569999999998,9.43299,15.626438,11.874091,20.130257,15.2121,14.140509,12.204643,14.646560000000001,12.044369999999999,11.03327,11.431058,17.291520000000002,10.0864
17.09739,11.2777,18.31974,10.987,35.74743,19.8436,24.696749999999998,15.7263,43.87192999999999,29.3129,77.5898,47.4231,33.5955,11.7193,65.2944,47.7535
3,3.99702,7.139278,4.16803,2,2,9.99999,9.99032,6.39591,4.4585539999999995,11,11,12.000005999999999,6.4519,7.823222,4.584015
25.078806999999998,34.56658,36.035,32.3108,28.192920000000004,41.75399,44.821310000000004,52.955929999999995,22.2902196787056,20.8848,20.568392000000003,53.78051,39.161100000000005,34.422301,26.387416,34.370824000000006
0,0,1,1,0,0,3,2,1,1,0,0,1,1,0,0
20.64472,3.30063,40.26683,16.57718,38.4331,10.30282,38.190900000000006,7.52044,14.37406,0,18.97131,3.68723,25.78435,7.98043,18.6671,1.45815
222.55301000000003,223.76551,267.83299999999997,245.2453127095,194.6241,196.00041000000002,348.47702,334.229600355558,222.2891326208,197.18591861000002,312.5754022988,351.994,270.3266,301.76527999999996,250.53033999999997,234.76476000000002
141.02375,67.84600999999999,267.1923,70.7453,159.12386999999998,57.842040000000004,297.081,100.24480999999999,222.1816,83.6305,317.4163,107.76820000000001,235.37825999999998,82.54970999999999,286.37611,89.90965999999999
1.875780249805,0,1.94667,0,0.968944530271,0,0,0,0,0,0,0,0,0,0,0
3.9999953999999995,1,1,1,0,0,6,3.9999969999999996,0,0,1,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,0,2.000002,2.000002,1,1,4,3,1.92143,0.323957,3,1
66.382236,28.38851,93.51621999999999,41.098608481,69.61554000000001,5.77068,80.99965,2.55197,81.063001,15.28013,94.83135299999998,0,88.736854,2.85353,76.07232799999998,14.41507
251.9313826024,56.64232,302.6638500000001,57.45669,154.68571,1.0424700854064,336.35941149999996,71.77447000000001,61.161270144974004,8.14486,153.46699999999998,9.11233,148.7492,12.2974,124.43370000000002,31.44113
24.634387999999998,22.634348000000003,54.529419999999995,33.53736,35.99995500000001,19.0053,64.00005,20.21009643,34.903031999999996,10.440439999999999,51.42372,35.25639,40.504819999999995,17.80609,44.9795611541971,37.268663
8.926178,4.121700000000001,12.91865,9.58614,12.76835,4.989016,25.572468599999997,11.4372,19.92689,8.314224,38.86745785,11.542079999999999,31.8711,12.401769999999999,14.429546833,10.5149
99.92076127023,31.57478,135.19844,25.34743,110.8306164,40.54945,231.11543,50.950553000000006,169.73402000000002,29.121617,166.41161999999997,52.49997,135.56597,35.0434,95.104702,32.15504
10.000002,10,14,13,7.000002,7,17.999962,20,11,11,16.99999,18,16.999991,16,9,7
273.15540000000004,62.5633,315.44059999999996,84.37284269999999,247.88273,72.6764020527,409.90469999999993,167.8039,105.97382999999999,13.6964,197.93490000000003,63.227199999999996,146.7636,2.45237e-6,139.9294324127,56.885500667461
17.1020946,10.611488999999999,34.13674,8.114859000000001,29,27.000043,57.437856000000004,49.2166,28.217883999999998,25.682394,15.014282000000001,12.859575,26.575763000000002,22.2051433,16.999997,15.999951999999999
9.06193,5.61379,2.0376,1.96429,10.55039,7.83138,15.183530000000001,7.43479,0,0,4.29339,0,2.1358,2.07474,0,0
11.898798371000002,2.63273,4.159039968999999,1.61652,5.185990199999999,3.17747,12.196151,6.34896,9.16645,2.26136676523,2.448152,0,5.9321,2.3053,7.676131999999999,2.05079
8.06108,6.061079,7.690011999999999,4.109593,2.83512,2.12216,6.007291,3.87448,11,7.06108,7.18323,4.04271,11.30539001527,11.528435,7.1832400000000005,1.42016
58.633399,65.05474199999999,94.58923000000001,89.26284,68.985121,67.94019,117.13956460999998,98.405572,30.438098,28.87272,40.780570000000004,37.433293,32.534182,28.68138,38.66109,32.66898
18.999997,14.950520000000001,21.26952,18.9651,15.536156,16.42481,23.999962,25.062400028757597,42.774465,42.8883,45.20910000000001,44,44.000009000000006,41,25.97093,30.933999999999997
7,6,6.000000999999999,5,6,7,8,6.000005000000001,6,5,5.00001,4,12.018370000000001,11,8.999995,2.966076
35.275380999999996,3.3151,50.07181502268849,11.034379,35.040988,9.47875,64.13211000000001,5.22877,42.6799,13.510169,46.355608000000004,1.571215,39.10204,0.4258933602,51.18670999999999,6.421568300000001
0,0,0,0,1,0.454742,0,0,0,0,0,0,0,0,0,0
11.5998,13.5383,53.9891779152,43.991113194831,21.937107212,20.9047426843,5.36888,6.4304,41.18261408,51.121454895599996,99.528569,93.30180362428,69.3550033959,58.517230209999994,66.006309276,63.415662624599996
98.75807,10.2053,121.77886000000001,17.3325,86.76237,13.6085,173.52328,22.4483,109.26772,8.589399,169.2664,21.58129,149.89869999999996,26.8263,91.89084,13.677539
